dataset,n_components,log_likelihood,aic,bic,is_best_bic
CShape,1,-8.815788310316817,2654.7364930950453,2669.7896695655263,False
CShape,2,-7.620740354164661,2308.222106249398,2341.339094484457,False
CShape,3,-6.250437914377525,1909.1313743132573,1960.3121743128936,False
CShape,4,-5.65729615056994,1743.188845170982,1812.4334569351959,False
CShape,5,-5.239363667623089,1629.8091002869269,1717.1175238157184,False
CShape,6,-4.9365678519938685,1550.9703555981605,1656.3425908915294,False
CShape,8,-4.376835093963021,1407.0505281889064,1548.5503870114303,False
CShape,10,-4.073175241729526,1339.9525725188578,1517.580054870537,True
Line,1,-8.24502535036091,2483.507605108273,2498.5607815787544,False
Line,2,-6.822229155351847,2068.668746605554,2101.785734840613,False
Line,3,-6.485493983035118,1979.6481949105355,2030.8289949101718,False
Line,4,-5.7618096205928415,1774.5428861778526,1843.7874979420665,False
Line,5,-5.189654137522416,1614.8962412567248,1702.2046647855163,False
Line,6,-4.871725806577101,1531.5177419731301,1636.889977266499,False
Line,8,-4.378433047277613,1407.529914183284,1549.029773005808,False
Line,10,-3.979372551462517,1311.8117654387552,1489.4392477904344,True
Sshape,1,-10.998840317643793,5509.420158821897,5527.0274634112075,False
Sshape,2,-10.699398027528044,5371.699013764022,5410.435083860507,False
Sshape,3,-9.934930800275572,5001.465400137786,5061.330235741444,False
Sshape,4,-9.624762345690602,4858.381172845301,4939.374773956133,False
Sshape,5,-9.16949635201968,4642.74817600984,4744.870542627845,False
Sshape,6,-8.779079309080197,4459.539654540099,4582.790786665278,False
Sshape,8,-8.29906522470748,4243.53261235374,4409.041275493265,False
Sshape,10,-7.852070577823472,4044.035288911736,4251.801483065608,True
WShape,1,-10.581021262970623,5300.510631485311,5318.117936074622,False
WShape,2,-9.786628669101898,4915.314334550949,4954.050404647433,False
WShape,3,-9.053116892665225,4560.558446332612,4620.4232819362705,False
WShape,4,-8.007978774311002,4049.9893871555014,4130.982988266333,False
WShape,5,-7.528528699841635,3822.2643499208175,3924.386716538823,False
WShape,6,-7.221319531048979,3680.6597655244896,3803.910897649668,False
WShape,8,-7.037834924389892,3612.917462194946,3778.4261253344716,True
WShape,10,-6.925204041296147,3580.6020206480734,3788.368214801946,False
